,Date_heure,nb_ae,nb_ae_rep,nb_ae_tr90,dmr,dmt,TR90,Year,Mois,Semaine,Year_Sem,Date,jsem,creneau,BTS,cs_ae_tr,cs_ae_rep,cs_tr90
730,2021-10-07 09:00:00,59,59,25,117,430,42,2021,10,40,2021_40,2021-10-07,Jeudi,09:00,True,113,169,66.9
731,2021-10-07 10:30:00,65,64,21,131,384,32,2021,10,40,2021_40,2021-10-07,Jeudi,10:30,True,134,233,57.5
732,2021-10-07 11:00:00,56,56,39,78,431,69,2021,10,40,2021_40,2021-10-07,Jeudi,11:00,True,173,289,59.9
733,2021-10-07 11:30:00,57,55,47,57,393,85,2021,10,40,2021_40,2021-10-07,Jeudi,11:30,True,220,344,64.0
734,2021-10-07 12:00:00,54,54,37,71,398,68,2021,10,40,2021_40,2021-10-07,Jeudi,12:00,True,257,398,64.6
735,2021-10-07 12:30:00,41,40,12,152,320,30,2021,10,40,2021_40,2021-10-07,Jeudi,12:30,True,269,438,61.4
736,2021-10-07 13:00:00,54,51,45,37,329,88,2021,10,40,2021_40,2021-10-07,Jeudi,13:00,True,314,489,64.2
737,2021-10-07 13:30:00,46,46,43,37,346,93,2021,10,40,2021_40,2021-10-07,Jeudi,13:30,True,357,535,66.7
738,2021-10-07 14:00:00,40,40,14,146,401,35,2021,10,40,2021_40,2021-10-07,Jeudi,14:00,True,371,575,64.5
739,2021-10-07 14:30:00,53,53,27,107,336,50,2021,10,40,2021_40,2021-10-07,Jeudi,14:30,True,398,628,63.4
740,2021-10-07 15:00:00,47,46,32,71,399,69,2021,10,40,2021_40,2021-10-07,Jeudi,15:00,True,430,674,63.8
741,2021-10-07 15:30:00,57,57,23,116,389,40,2021,10,40,2021_40,2021-10-07,Jeudi,15:30,True,453,731,62.0
742,2021-10-07 16:00:00,48,48,41,44,371,85,2021,10,40,2021_40,2021-10-07,Jeudi,16:00,True,494,779,63.4
743,2021-10-07 16:30:00,49,47,34,60,382,72,2021,10,40,2021_40,2021-10-07,Jeudi,16:30,True,528,826,63.9
744,2021-10-07 17:00:00,56,55,16,130,346,29,2021,10,40,2021_40,2021-10-07,Jeudi,17:00,True,544,881,61.7
745,2021-10-07 17:30:00,61,61,34,97,353,55,2021,10,40,2021_40,2021-10-07,Jeudi,17:30,True,578,942,61.4
746,2021-10-07 19:00:00,9,9,2,269,491,22,2021,10,40,2021_40,2021-10-07,Jeudi,19:00,True,580,951,61.0
747,2021-10-07 19:30:00,6,6,2,197,373,33,2021,10,40,2021_40,2021-10-07,Jeudi,19:30,True,582,957,60.8
748,2021-10-08 08:00:00,37,37,37,16,229,100,2021,10,40,2021_40,2021-10-08,Vendredi,08:00,True,37,37,100.0
749,2021-10-08 08:30:00,45,45,28,77,414,62,2021,10,40,2021_40,2021-10-08,Vendredi,08:30,True,65,82,79.3
750,2021-10-08 09:00:00,32,32,29,42,346,90,2021,10,40,2021_40,2021-10-08,Vendredi,09:00,True,94,114,82.5
751,2021-10-08 09:30:00,32,32,30,35,338,93,2021,10,40,2021_40,2021-10-08,Vendredi,09:30,True,124,146,84.9
752,2021-10-08 10:00:00,47,46,44,37,275,95,2021,10,40,2021_40,2021-10-08,Vendredi,10:00,True,168,192,87.5
753,2021-10-08 10:30:00,38,38,38,26,281,100,2021,10,40,2021_40,2021-10-08,Vendredi,10:30,True,206,230,89.6
754,2021-10-08 11:00:00,41,40,39,29,289,97,2021,10,40,2021_40,2021-10-08,Vendredi,11:00,True,245,270,90.7
755,2021-10-08 11:30:00,29,29,29,22,293,100,2021,10,40,2021_40,2021-10-08,Vendredi,11:30,True,274,299,91.6
756,2021-10-08 12:00:00,28,28,25,40,379,89,2021,10,40,2021_40,2021-10-08,Vendredi,12:00,True,299,327,91.4
757,2021-10-08 12:30:00,23,22,14,87,387,63,2021,10,40,2021_40,2021-10-08,Vendredi,12:30,True,313,349,89.7
758,2021-10-08 13:00:00,25,25,2,218,329,8,2021,10,40,2021_40,2021-10-08,Vendredi,13:00,True,315,374,84.2
759,2021-10-08 13:30:00,37,37,30,50,287,81,2021,10,40,2021_40,2021-10-08,Vendredi,13:30,True,345,411,83.9
760,2021-10-08 14:00:00,33,33,19,90,386,57,2021,10,40,2021_40,2021-10-08,Vendredi,14:00,True,364,444,82.0
761,2021-10-08 14:30:00,37,37,30,51,297,81,2021,10,40,2021_40,2021-10-08,Vendredi,14:30,True,394,481,81.9
762,2021-10-08 15:00:00,28,28,28,23,400,100,2021,10,40,2021_40,2021-10-08,Vendredi,15:00,True,422,509,82.9
763,2021-10-08 15:30:00,39,39,32,47,356,82,2021,10,40,2021_40,2021-10-08,Vendredi,15:30,True,454,548,82.8
764,2021-10-08 16:00:00,31,30,29,22,286,96,2021,10,40,2021_40,2021-10-08,Vendredi,16:00,True,483,578,83.6
765,2021-10-08 16:30:00,39,39,38,22,417,97,2021,10,40,2021_40,2021-10-08,Vendredi,16:30,True,521,617,84.4
766,2021-10-08 17:00:00,41,40,14,116,340,35,2021,10,40,2021_40,2021-10-08,Vendredi,17:00,True,535,657,81.4
767,2021-10-08 17:30:00,37,37,13,132,287,35,2021,10,40,2021_40,2021-10-08,Vendredi,17:30,True,548,694,79.0
768,2021-10-08 18:00:00,20,20,13,90,483,65,2021,10,40,2021_40,2021-10-08,Vendredi,18:00,True,561,714,78.6
769,2021-10-08 18:30:00,11,11,5,99,352,45,2021,10,40,2021_40,2021-10-08,Vendredi,18:30,True,566,725,78.1
770,2021-10-09 08:00:00,30,30,28,34,324,93,2021,10,40,2021_40,2021-10-09,Samedi,08:00,True,28,30,93.3
771,2021-10-09 08:30:00,24,24,22,28,267,91,2021,10,40,2021_40,2021-10-09,Samedi,08:30,True,50,54,92.6
772,2021-10-09 09:00:00,24,24,24,16,363,100,2021,10,40,2021_40,2021-10-09,Samedi,09:00,True,74,78,94.9
773,2021-10-09 09:30:00,25,25,25,20,279,100,2021,10,40,2021_40,2021-10-09,Samedi,09:30,True,99,103,96.1
774,2021-10-09 10:00:00,26,26,22,39,343,84,2021,10,40,2021_40,2021-10-09,Samedi,10:00,True,121,129,93.8
775,2021-10-09 10:30:00,23,23,16,73,318,69,2021,10,40,2021_40,2021-10-09,Samedi,10:30,True,137,152,90.1
776,2021-10-09 11:00:00,18,18,18,19,303,100,2021,10,40,2021_40,2021-10-09,Samedi,11:00,True,155,170,91.2
777,2021-10-09 11:30:00,24,24,24,16,403,100,2021,10,40,2021_40,2021-10-09,Samedi,11:30,True,179,194,92.3
778,2021-10-09 12:00:00,24,24,18,55,269,75,2021,10,40,2021_40,2021-10-09,Samedi,12:00,True,197,218,90.4
779,2021-10-09 12:30:00,16,16,16,21,367,100,2021,10,40,2021_40,2021-10-09,Samedi,12:30,True,213,234,91.0
780,2021-10-09 13:00:00,29,29,18,78,306,62,2021,10,40,2021_40,2021-10-09,Samedi,13:00,True,231,263,87.8
781,2021-10-09 13:30:00,24,24,20,38,325,83,2021,10,40,2021_40,2021-10-09,Samedi,13:30,True,251,287,87.5
782,2021-10-09 14:00:00,19,18,13,51,281,72,2021,10,40,2021_40,2021-10-09,Samedi,14:00,True,264,305,86.6
783,2021-10-09 14:30:00,25,25,25,18,275,100,2021,10,40,2021_40,2021-10-09,Samedi,14:30,True,289,330,87.6
784,2021-10-09 15:00:00,18,18,18,18,328,100,2021,10,40,2021_40,2021-10-09,Samedi,15:00,True,307,348,88.2
785,2021-10-09 15:30:00,22,22,22,17,296,100,2021,10,40,2021_40,2021-10-09,Samedi,15:30,True,329,370,88.9
786,2021-10-09 16:00:00,20,20,19,32,353,95,2021,10,40,2021_40,2021-10-09,Samedi,16:00,True,348,390,89.2
787,2021-10-09 16:30:00,18,18,18,19,234,100,2021,10,40,2021_40,2021-10-09,Samedi,16:30,True,366,408,89.7
788,2021-10-09 17:00:00,12,12,12,16,255,100,2021,10,40,2021_40,2021-10-09,Samedi,17:00,True,378,420,90.0
789,2021-10-09 17:30:00,16,16,16,16,195,100,2021,10,40,2021_40,2021-10-09,Samedi,17:30,True,394,436,90.4
790,2021-10-09 18:00:00,7,7,6,33,414,85,2021,10,40,2021_40,2021-10-09,Samedi,18:00,True,400,443,90.3
791,2021-10-09 18:30:00,7,7,5,64,336,71,2021,10,40,2021_40,2021-10-09,Samedi,18:30,True,405,450,90.0
792,2021-10-11 08:00:00,12,12,11,22,240,91,2021,10,41,2021_41,2021-10-11,Lundi,08:00,True,11,12,91.7
793,2021-10-11 08:30:00,30,30,9,123,280,30,2021,10,41,2021_41,2021-10-11,Lundi,08:30,True,20,42,47.6
794,2021-10-11 09:00:00,17,17,17,21,387,100,2021,10,41,2021_41,2021-10-11,Lundi,09:00,True,37,59,62.7
795,2021-10-11 09:30:00,25,25,17,78,435,68,2021,10,41,2021_41,2021-10-11,Lundi,09:30,True,54,84,64.3
796,2021-10-11 10:00:00,25,24,24,23,284,100,2021,10,41,2021_41,2021-10-11,Lundi,10:00,True,78,108,72.2
797,2021-10-11 10:30:00,15,15,7,91,435,46,2021,10,41,2021_41,2021-10-11,Lundi,10:30,True,85,123,69.1
